ID,頭文字,品目名,読み,類似語,出し方（一覧）,出し方（詳細）,出し方のポイント,URL1
12,あ,アイスの棒,あいすのぼう,アイス棒,普通ごみ,,,
13,あ,アイスピック,あいすぴっく,,小物金属,,厚紙等で包み「刃物キケン」と表示して出してください。,
14,あ,アイスペール(ガラス製),あいすぺーる,氷入れ アイスバケツ,普通ごみ,,,
16,あ,アイスペール(金属製),あいすぺーる（きんぞくせい）,アイスバケツ,小物金属,粗大ごみ,最長辺30cm以上のもには粗大ごみとして出してください。,
15,あ,アイスペール(プラスチック製),あいすぺーる（ぷらすちっくせい）,アイスバケツ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
18,あ,アイスホッケー防具,あいすほっけーぼうぐ,,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
17,あ,アイスボックス,あいすぼっくす,,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
19,あ,アイゼン,あいぜん,,小物金属,,,
20,あ,アイマスク,あいますく,スチームアイピロー アイピロー,普通ごみ,,,
21,あ,アイライナー・アイブロー,あいらいなー,アイペンシル 化粧鉛筆 アイブロウペンシル アイライン アイブラシ ペンシルアイライナー 眉ペン,普通ごみ,,,
22,あ,アイロン,あいろん,電気アイロン スチームアイロン コードレスアイロン 自動裁縫こて アイロンスチーマー ガスアイロン,小物金属,,,
23,あ,アイロンケース(プラスチック製),あいろんけーす（ぷらすちっくせい）,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
27,あ,アイロン台,あいろんだい,仕上げ馬 アイロン掛け台 アイロンだい アイロンの台 アイロンスタンド,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
28,あ,アイロン台カバー,あいろんだいかばー,,普通ごみ,,,
24,あ,アイロンバッグ,あいろんばっぐ,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
25,あ,アイロンプリント紙,あいろんぷりんとし,アイロン熱転写紙 アイロンシート,ミックスペーパー,,,
26,あ,アイロンマット,あいろんまっと,,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
29,あ,アウトドア用椅子（金属製）,あうとどあよういす（きんぞくせい）,キャンプ用いす ディレクターズチェア キャンプ用椅子 キャンピングチェア キャンプ用品 キャンプいす レジャーチェア レジャーチェアー デレクターズチェア レジャー椅子 アウトドアチェア サマーチェアー ガーデンチェアー キャンプ椅子 キャンプ用イス ピクニックチェアー キャンプベンチ 三脚イス アウトドア椅子 アウトドア用チェアー キャンプチェア キャンプチェアー バーベキューチェアー アウトドアチェアー ディレクターズチェアー ディレクターチェアー 金属の椅子 アウトドア用いす 野外用椅子 キャンピングチェアー キャンプイス フォールディングチェア キャンプのいす,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
30,あ,アウトドア用椅子（金属製以外）,あうとどあよういす（きんぞくせいいがい）,キャンプ用いす ディレクターズチェア キャンプ用椅子 キャンピングチェア キャンプ用品 キャンプいす レジャーチェア レジャーチェアー デレクターズチェア レジャー椅子 アウトドアチェア サマーチェアー ガーデンチェアー キャンプ椅子 キャンプ用イス ピクニックチェアー キャンプベンチ 三脚イス アウトドア椅子 アウトドア用チェアー キャンプチェア キャンプチェアー バーベキューチェアー アウトドアチェアー ディレクターズチェアー ディレクターチェアー 金属の椅子 アウトドア用いす 野外用椅子 キャンピングチェアー キャンプイス フォールディングチェア キャンプのいす,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
84,あ,青焼き,あおやき,,ミックスペーパー,,,
31,あ,あかすり,あかすり,アカスリ あかすりタオル,普通ごみ,,,
32,あ,アクセサリー,あくせさりー,カチューシャ ネックレス ピアス 髪飾り 髪留め イヤリング 装飾品 シルバー ブローチ パール バレッタ 真珠 ヘアアクセサリー ヘアクリップ 腕輪 ブレスレッド 髪どめ ダッカール ヘア止め 金属の装飾品 小さな貴金属 ブレスレット かみどめ バングル ヘアバレッタ ぴんどめ ヘアーアクセサリー イアリング ラインストーン 磁気ネックレス ビーズアクセサリー ティアラ かみとめ 髪止め かんざし バンスクリップ おもちゃの指輪 バナナクリップ ヘア飾り かみかざり ばれった ループタイ チョーカー 簪 ヘアコーム シルバーアクセサリー ヘアークリップ ペンダントトップ 銀アクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
35,あ,あく取り,あくとり,アク取り アク取りおたま,小物金属,普通ごみ,プラスチック製のものは普通ごみとして出してください。,
71,あ,握力計,あくりょくけい,握力器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
33,あ,アクリルケース,あくりるけーす,アクリル樹脂 メタクリル樹脂 保存容器ケース 小物入れ アクリルの箱 小物いれ アクリルボックス 小物ケース 樹脂製品 小物箱 アクリル容器 観察ケース リーフレットケース パンフレットケース アクリルスタンド,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
34,あ,アクリル製・プラスチック製の板,あくりるばん,アクリル板 アクリル樹脂 メタクリル樹脂 アクリルボード プラ板 プラスチック製ボード 塩ビ板 塩化ビニール板 ベーク板 プラスチック板 プラスチックボード プラスチック製板 プラスティック板 アクリルフレーム アクリルパネル クリアボード 樹脂板 樹脂製の板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
36,あ,アコーディオンカーテン,あこーでぃおんかーてん,アコーデオンカーテン,粗大ごみ,,,
37,あ,アコーディオンドア,あこーでぃおんどあ,アコーデオンドア パネルドア,粗大ごみ,,,
38,あ,アコーディオンフェンス,あこーでぃおんふぇんす,,粗大ごみ,,5個までを1個として出すことができます。,
96,あ,麻ひも,あさひも,麻紐,普通ごみ,,,
72,あ,葦,あし,ござ ゴザ,普通ごみ,,,
86,あ,足蹴り自転車,あしけりじてんしゃ,ストライダー,粗大ごみ,,,
87,あ,足蹴り乗用玩具(おもちゃ車),あしげりじょうようがんぐ（おもちゃぐるま）,おもちゃの乗り物 おもちゃ自動車 コンビカー 乗り物玩具 子供乗り物 車のオモチャ おもちゃの車 幼児乗り物 足こぎ車 幼児用車 子どもの車 玩具の車 押しぐるま 足こぎ自動車 子供の乗り物 子供自動車 車のおもちゃ 子ども車 子供用車 子供の車 子供用三輪車 おもちゃのくるま 玩具の乗り物 足けり車 足蹴り車 バギーカー,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
85,あ,足ひれ(フィン),あしひれ（ふぃん）,ダイビングフィン 足ヒレ ダイビング用フィン ダイビング用足ひれ マリンフィン,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
88,あ,足拭きマット,あしふきまっと,バスマット 玄関マット 風呂マット お風呂マット お風呂用マット バスシート 浴室マット バスフロアマット おふろマット お風呂のマット 足ふき ラバーすのこ 風呂場マット 足ふきマット あしふきマット 風呂場の足ふき 玄関カーペット 屋外マット フワフワマット 脚ふきマット ミニマット ドアマット あし拭きマット 玄関まっと 吸水マット 脱衣所マット,普通ごみ,,,
80,あ,汗取りマット,あせとりまっと,,普通ごみ,,,
39,あ,アタッシュケース（金属製）,あたっしゅけーす（きんぞくせい）,ジェラルミンケース ジュラルミンケース アルミアタッシュケース ソフトアタッシュケース,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
40,あ,アタッシュケース（金属製以外）,あたっしゅけーす（きんぞくせいいがい）,ジェラルミンケース ジュラルミンケース アルミアタッシュケース ソフトアタッシュケース,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
73,あ,圧縮袋,あっしゅくぶくろ,ふとん圧縮袋 布団圧縮袋 布団の圧縮袋 ビニール圧縮袋 圧縮布団袋 圧縮ビニール袋 圧縮ふとん袋 圧縮ふくろ 圧縮ぶくろ ナイロン圧縮袋 布団圧縮パック 圧縮パック 衣類圧縮袋 衣類収納袋 衣類整理袋,普通ごみ,,,
83,あ,厚紙,あつがみ,ボール紙 板紙,ミックスペーパー,,,
41,あ,アトマイザー(香水噴霧器),あとまいざー（こうすいふんむき：きんぞくせい）,,小物金属,,,
42,あ,アトマイザー(香水噴霧器)のキャップ・ノズル,あとまいざー（こうすいふんむき）のきゃっぷ・のずる,,普通ごみ,プラスチック製容器包装,中身の製品（香水等）を購入した際の容器はプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
43,あ,アトマイザー(香水噴霧器:プラスチック製),あとまいざー（こうすいふんむき：ぷらすちっくせい）,,普通ごみ,プラスチック製容器包装,中身の製品（香水等）を購入した際の容器はプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
81,あ,穴あけパンチ(プラスチック製),あなあけぱんち（ぷらすちっくせい）,ホールパンチ 穴開けパンチ 穴あけ機 穴あきパンチ クラフトパンチ ハンドパンチ,普通ごみ,,最長辺50cm以上のものは粗大ごみとして出してください。,
82,あ,穴あけパンチ(金属製),あななけぱんち（きんぞくせい）,ホールパンチ 穴開けパンチ 穴あけ機 穴あきパンチ クラフトパンチ ハンドパンチ,小物金属,,最長辺30cm以上のものは粗大ごみとして出してください。,
100,あ,油紙,あぶらかみ,あぶら紙,普通ごみ,ミックスペーパー,未使用のものはミックスペーパーとして出してください。,
44,あ,あぶら取り紙,あぶらとりがみ,油とり紙 あぶらとり あぶらとり紙 油取り紙,普通ごみ,ミックスペーパー,未使用のものはミックスペーパーとして出してください。,
99,あ,油引き,あぶらひき,,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
79,あ,雨合羽 あまがっぱ(ゴム・ビニール製),あまがっぱごむびにーるせい,雨ガッパ レインコート レインウェア かっぱ カッパ 雨具 レインスーツ 雨カッパ ビニールカッパ 雨ガッパ 雨ガッパ 防寒カッパ 雨かっぱ アマガッパ ビニール雨カッパ ビニールかっぱ,普通ごみ,,,
78,あ,雨戸,あまど,,粗大ごみ,,ふすま・網戸・雨戸を5枚までを1個として出すことができます。,
77,あ,雨どい,あまどい,雨樋 雨とい あまとい 軒樋,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
89,あ,編み機,あみき,,粗大ごみ,小物金属,金属製で最長辺30cm未満のものは小物金属として出してください。,
45,あ,あみじゃくし,あみじゃくし,網杓子 あみしゃくし 網じゃくし,小物金属,,,
97,あ,網戸,あみど,あみ戸 ロール網戸 網戸枠,粗大ごみ,,ふすま・網戸・雨戸を5枚までを1個として出すことができます。,
98,あ,網戸の網,あみどのあみ,網戸ネット 網戸のアミ 網戸のネット 網戸のあみ 網戸用網 網戸網,普通ごみ,,,
46,あ,あみ針(木製・プラスチック製),あみはり（もくせい・ぷらすちっくせい）,,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
90,あ,編み針,あみばり,,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
91,あ,編み棒,あみぼう,かぎぼう あみもの棒 あみ棒 編棒 編み物棒,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
47,あ,あめの棒,あめのぼう,,普通ごみ,,,
101,あ,アルコール温度計,あるこーるおんどけい,,普通ごみ,,厚紙等等に包み「品名」を表示して出してください。,
48,あ,アルコールランプ(ガラス製),あるこーるらんぷ,オイルランプ,普通ごみ,,アルコールや油は使いきって出してください。/使いきれない場合は布等に染み込ませて普通ごみとして出してください。,
51,あ,アルバム（プラスチック製）,あるばむ,フォトブック ポケットアルバム台紙 写真アルバム 卒業アルバム フォトアルバム アルバムケース アルバムの台紙 アルバム張 写真アルバム張 写真帳 フエルアルバム 写真のアルバム 写真ファイル,普通ごみ,,写真はミックスペーパーとして出してください。,
50,あ,アルバム（紙製）,あるばむ（かみせい）,フォトブック ポケットアルバム台紙 写真アルバム 卒業アルバム フォトアルバム アルバムケース アルバムの台紙 アルバム張 写真アルバム張 写真帳 フエルアルバム 写真のアルバム 写真ファイル,ミックスペーパー,,金属部分は外して小物金属として出してください。/金属部分が外せない場合はそのままミックスペーパーとして出してください。/写真はミックスペーパーとして出してください。,
58,あ,アルミ缶(飲料用・食品用),あるみかんいんりょうようしょくりょうよう,飲料缶 飲み物の缶 お菓子の空き缶箱 炭酸飲料 金属缶 アルミの缶 アルミ容器 アルミカン あき缶 食品缶ジュース 空缶 金属容器 空きかん 飲み物容器 ウーロン茶 空きカン 缶容器 かんずめ お菓子缶詰 金属製缶 金属の缶 ジュースの缶 水缶 油のかん 金属カン 調味料の缶 調味料のカン アルミ缶詰め シーチキンのかん コーラ アルミかん チェリオ ライフガード ペプシ,空き缶・ペットボトル,,大きさによらず飲料・食品の缶は空き缶・ペットボトルとして出してください。,
59,あ,アルミ台,あるみだい,作業台,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
52,あ,アルミテープ,あるみてーぷ,バロンテープ クロステープ,普通ごみ,,,
53,あ,アルミはく、アルミホイル,あるみはくあるみほいる,アルミフォイル アルミ箔 アルミカップ アルミホイール アルミ泊 アルミフィルム アルミ蓋 アルミ紙 アルミ包み ホイルカップ アルミかっぷ アルミニウムはく アルミニウム箔,普通ごみ,,,
54,あ,アルミバッグ(カメラ・パソコン用),あるみばっぐ（かめら・ぱそこんよう）,カメラバック カメラボックス ジェラルミンケース ジュラルミンケース アルミケース カメラBOX アルミ鞄 アルミパック パソコンバック,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
55,あ,アルミホイルの芯,あるみほいるのしん,アルミホイルのしん,ミックスペーパー,,,
56,あ,アルミボックス,あるみぼっくす,アルミ箱 アルミ製の箱,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
57,あ,アルミマット,あるみまっと,銀マット キャンプ用ベッド,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
60,あ,アロマオイルの容器(ガラス製),あろまおいるのようき（がらすせい）,アロマオイルビン アロマ容器 アロマボトル アロマ瓶 アロマオイル瓶 アロマの瓶 遮光瓶 アロマテラピー アロマビン アロマオイルのびん アロマ油 アロマびん アロマオイルの瓶 アロマのビン,普通ごみ,,空きびんではなく普通ごみとして出してください。,
61,あ,アロマオイルの容器(プラスチック製),あろまおいるのようき（ぷらすちっくせい）,アロマオイルビン アロマ容器 アロマボトル アロマテラピー アロマビン アロマ油,普通ごみ,プラスチック製容器包装,中身の製品（アロマオイル）を購入した際の容器はプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
62,あ,アロマキャンドルのビン,あろまきゃんどるのびん,アロマキャンドルビン 瓶入りロウソク,普通ごみ,,空きびんではなく普通ごみとして出してください。,
63,あ,アロマポット(陶器・ガラス製),あろまぽっと（とうき・がらすせい）,アロマ容器 アロマランプ デフューザー アロマスタンド アロマディフューザー アロマボトル アロマ瓶 アロマデフィューザ アロマ陶器,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
64,あ,アロマライト,あろまらいと,,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
92,あ,泡立てネット,あわたてねっと,泡だてネット あわだてねっと 泡たてネット 泡だてネット 洗顔ネット,普通ごみ,,,
93,あ,泡立て器(手動:プラスチック・シリコン製),あわだてき（しゅどう：ぷらすちっく・しりこんせい）,泡だて器 ホイッパー 泡立て機 泡立器 泡立てき 泡たて器,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
94,あ,泡立て器(電動),あわだてき（でんどう：きんぞくせい）,ハンドミキサー 泡だて器 ホイッパー ミルクホイッパー 泡立て機 泡立器 泡立てき 泡たて器 ハンドブレンダー フローサー ミルクフローサー 電動泡立て器 ブレンダー刃,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
95,あ,泡立て器(電動・プラスチック製),あわだてき（でんどう：ぷらすちっくせい）,ハンドミキサー 泡だて器 ホイッパー ミルクホイッパー 泡立て機 泡立器 泡立てき 泡たて器 ハンドブレンダー フローサー ミルクフローサー 電動泡立て器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
66,あ,アンカーボルト,あんかーぼると,アンカー ボルト,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
65,あ,あんか・足温器,あんかそくおんき,電気あんか 行火 電機アンカ 電気アンカ 電器あんか 電機あんか でんきあんか,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
68,あ,アンクルウエイト,あんくるうえいと,パワーリスト アンクルウェイト リストウェイト リストウエイト パワーアンクル,普通ごみ,小物金属,金属製の重り等は小物金属として出してください。,
67,あ,アングル(鋼材),あんぐる（こうざい）,スチール製アングル,粗大ごみ,,概ね2mを超えるものは市では収集できません。（販売店等に相談してください。）,
75,あ,安全帯,あんぜんたい,,小物金属,,ただし、事業活動から出るものは市では収集できません。,http://www.city.kawasaki.jp/kurashi/category/24-1-25-0-0-0-0-0-0-0.html
74,あ,安全ピン,あんぜんぴん,安全ぴん,小物金属,,厚紙等で包み「品名」を表示して出してください。,
76,あ,安定器(照明用),あんていき（しょうめいよう）,照明安定器,小物金属,,,
69,あ,アンテナ,あんてな,パラボラアンテナ テレビアンテナ BSアンテナ CSアンテナ 衛星アンテナ 衛星放送アンテナ 屋外アンテナ パラボナアンテナ TVアンテナ チューナーアンテナ スカパーアンテナ 室外アンテナ BSCSアンテナ,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
70,あ,アンテナ基台(金属製),あんてなきだい（きんぞくせい）,アンテナ台 屋外アンテナ アンテナ部品 アンテナ用鉄棒,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
104,い,イーゼル（金属製）,いーぜる（きんぞくせい）,,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
103,い,イーゼル（木製・プラスチック製）,いーぜる（もくせい・ぷらすちっくせい）,,粗大ごみ,普通ごみ,木製、プラスチック製で最長辺50cm未満のものは普通ごみとして出してください。,
102,い,ETC車載機,いーてぃーしーしゃさいき,ETC車載器,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。ただし、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
105,い,イオン発生器,いおんはっせいき,イオン発生機,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
140,い,育毛剤(エアゾール缶),いくもうざいえあぞーるかん,ヘヤートニック 薬用育毛剤 薬用養毛剤 養毛剤 ヘアトニック 育毛剤の容器,空き缶・ペットボトル,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください）/中身が出せない場合は生活環境事業所に相談してください。,
142,い,育毛剤のびん(ガラスびん),いくもうざいのびん（がらすびん）,ヘヤートニック 柑気楼 薬用育毛剤 薬用養毛剤 養毛剤 ヘアトニック 育毛剤 ビン 育毛剤の容器,普通ごみ,,厚紙等に包み「ワレモノキケン」と表示して出してください。,
141,い,育毛剤(プラスチック容器),いくもうざい（ぷらすちっくようき）,ヘヤートニック 柑気楼 薬用育毛剤 薬用養毛剤 養毛剤 ヘアトニック 育毛剤の容器,プラスチック製容器包装,,識別表示を確認して出してください。,
130,い,い草上敷き,いぐさうわじき,イグサ いぐさシート ねござ い草マット イグサマット い草ラグ 畳表 畳ござ 竹ござ い草カーペット イ草 畳カーペット い草シート 敷き畳 敷畳 い草敷物 井草カーペット 畳マット 畳ゴザ 畳上敷き 井草マット 畳ラグ い草ゴザ 寝ござ いぐさカーペット 琉球畳 いぐさ敷物,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
161,い,石皿,いしさら,溶岩プレート,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
108,い,石（30cm以上）,いし（30せんちいじょう）,,その他,,最長辺30cm以上のものは市では収集できません。（販売店等に相談してください。）,
107,い,石（30cm未満）,いし（30せんちみまん）,,粗大ごみ,,1回につき5個まで無料です。（粗大ごみの申し込みが必要です。）/なお、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）/30cm以上のものは市では収集できませんので、販売店等に相談してください。,
106,い,石（10cm未満）,いし（10せんちみまん）,小石 石ころ 鉢底石 玉石,普通ごみ,,普通ごみとして出す前に、排出場所と量を所管の生活環境事業所に連絡し、出し方を確認してください。/なお、事業活動から出るものは市では収集できません。,
134,い,衣装ケース（金属製）,いしょうけーす（きんぞくせい）,衣類収納ケース 衣装箱 プラスチック衣装ケース 衣装チェスト 衣類ケース 衣類ボックス 衣裳ケース 衣料ボックス 衣類箱 プラスティック衣装ケース プラスチック製衣装ケース 収納プラボックス 衣装ボックス クリアーボックス 収納箱 プラ衣装ケース 洋服ケース ベッド下収納 クローゼットケース 三段ボックス 洋服ボックス タッグボックス プラスチック衣装箱 洋服箱 プラ製衣装箱 三段BOX 三段チェスト 衣装収納ケース,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
167,い,衣装ケース（木製・プラスチック製）,いしょうけーす（もくせい・ぷらすちっくせい）,衣類収納ケース 衣装箱 プラスチック衣装ケース 衣装チェスト 衣類ケース 衣類ボックス 衣裳ケース 衣料ボックス 衣類箱 プラスティック衣装ケース プラスチック製衣装ケース 収納プラボックス 衣装ボックス クリアーボックス 収納箱 プラ衣装ケース 洋服ケース ベッド下収納 クローゼットケース 三段ボックス 洋服ボックス タッグボックス プラスチック衣装箱 洋服箱 プラ製衣装箱 三段BOX 三段チェスト 衣装収納ケース,粗大ごみ,普通ごみ,5個までを1個として出すことができます。/最長辺50cm未満のものは普通ごみとして出してください。,
109,い,いす,いす,スツール パイプいす パイプ椅子 補助いす 補助椅子 ガーデンチェア パイプイス 回転イス 木のいす ダイニングチェア アルミチェアー ピアノイス 回転いす 籐椅子 パイプチェア バランスチェア プラスチック製椅子 籐いす 学習椅子 金属製イス 木の椅子 スチール椅子 ウッドチェアー 介護用イス 学習いす 丸イス 木製椅子 アルミ製の椅子 スチールパイプの椅子 スチールパイプ椅子 長椅子 木のイス フロアチェアー 布製座椅子 アルミパイプ椅子 フォールディング椅子 腰かけ デッキチェアー ロッキングチェア 金属製いす ハイチェア ロッキングチェアー 藤の椅子 デスクチェア ピアノ椅子 応接椅子 木椅子 アルミの椅子 ダイニングのイス アームチェア スチールイス ベビィーチェアー ローハイチェアー 丸椅子 事務イス 事務いす 回転座椅子 木製いす 丸パイプイス ダイニングいす 介護用のいす 籐の椅子 スチールいす とうの椅子 ドレッサー椅子 ピアノの椅子 介護いす 介護風呂用イス 介護用入浴イス 籐チェアー 正座椅子 カウンターチェア 安楽椅子 ラウンジチェアー 金属の椅子 デスク椅子 ワークチェアー 高座椅子 籐チェスト プラスチックのイス 食卓用椅子 スタッキングチェア プラスチックイス プラスチックのイス 学習チェア ダイニングチェアー プラスチック椅子 プラスティク椅子 木製の椅子 金属イス ダイニングの椅子 介護用椅子 木製スツール 介護椅子 藤椅子 リラックスチェア とう椅子,粗大ごみ,普通ごみ,金属が含まれておらず、最長辺50cm未満のものは普通ごみとして出してください。/折りたたみいすは5個までを1個として出すことができます。（回転式のものは除く）,
133,い,椅子脚カバー,いすあしかばー,,普通ごみ,,,
132,い,椅子マット,いすまっと,チェアマット,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
165,い,板目紙,いためがみ,,ミックスペーパー,,,
146,い,一輪車,いちりんしゃ,1輪車 子供用一輪車,粗大ごみ,,,
143,い,一升びん,いっしょうびん,酒びん 一升瓶 一升ビン お酒 リターナブルびん,資源集団回収,空きびん,資源集団回収の回収場所等がわからない場合は生活環境事業所に相談してください。/販売店での回収にもご協力ください。ただし、販売店での回収、資源集団回収のどちらも難しい場合は空きびんとして出してください。,
144,い,一升びんのフタ(上が金属、下がプラスチック製),いっしょうびんのふた（うえがきんぞく、したがぷらすちっくせい）,酒蓋 酒ふた お酒のキャップ お酒のふた 一升瓶のふた 一升瓶のフタ 一升びんの蓋 酒ビンの蓋 酒瓶のふた お酒の蓋 酒ブタ,プラスチック製容器包装,空き缶・ペットボトル,分離可能であれば分けて金属部分は空き缶・ペットボトルへ,
